ax,ay,az,gx,gy,gz,mx,my,mz,label
-0.02,-1.01,-0.11,2.38,-0.43,1.53,19.92,16.36,0.74,3
-0.03,-1.01,-0.10,-0.06,-2.26,2.44,20.08,16.00,0.26,3
-0.02,-1.01,-0.09,-0.37,-1.59,1.40,20.28,16.98,1.04,3
-0.02,-1.01,-0.12,2.75,-0.61,1.65,20.34,16.16,-0.22,3
-0.02,-1.00,-0.09,1.16,-2.38,2.08,19.82,16.61,0.79,3
-0.02,-1.01,-0.07,2.81,-2.20,1.46,19.78,16.36,0.83,3
-0.02,-1.01,-0.09,5.92,-2.56,0.79,20.00,16.20,0.23,3
-0.03,-1.01,-0.08,3.66,-2.32,1.22,20.40,16.65,0.88,3
-0.02,-1.00,-0.11,2.93,-1.04,2.32,20.64,16.43,0.81,3
-0.02,-1.01,-0.08,4.46,-3.11,0.98,19.91,17.16,-0.24,3
-0.02,-1.01,-0.08,2.69,-2.38,1.53,19.91,16.66,0.40,3
-0.02,-1.00,-0.09,3.23,-1.59,1.83,19.95,16.80,-0.44,3
-0.03,-1.01,-0.09,4.03,-3.36,1.46,20.18,16.74,0.93,3
-0.02,-1.01,-0.09,4.09,-2.87,1.46,20.19,17.11,0.82,3
-0.02,-1.01,-0.09,2.56,-2.69,1.83,20.21,17.07,0.17,3
-0.02,-1.01,-0.08,4.52,-3.36,1.28,20.10,16.50,-0.15,3
-0.02,-1.01,-0.08,2.69,-3.05,1.77,20.15,16.20,-1.05,3
-0.02,-1.01,-0.08,5.37,-2.93,1.34,20.03,16.82,0.06,3
-0.02,-1.02,-0.09,3.54,-2.44,1.28,19.95,16.69,-0.11,3
-0.02,-1.01,-0.08,3.85,-2.75,1.71,19.96,16.46,-1.23,3
-0.02,-1.01,-0.08,4.58,-3.05,1.65,19.54,16.24,-0.74,3
-0.02,-1.01,-0.07,4.82,-3.30,1.53,20.61,16.14,-0.71,3
-0.02,-1.01,-0.08,3.30,-2.08,1.10,20.24,16.41,-0.90,3
-0.02,-1.01,-0.08,2.62,-3.05,2.08,19.38,15.94,0.09,3
-0.02,-1.01,-0.08,2.87,-2.69,1.83,19.74,16.72,-0.24,3
-0.02,-1.01,-0.07,5.49,-2.87,1.46,20.70,16.26,0.27,3
-0.02,-1.01,-0.08,4.27,-2.38,1.34,20.43,16.66,-0.16,3
-0.02,-1.01,-0.07,3.85,-2.32,1.28,20.17,16.15,0.31,3
-0.01,-1.01,-0.12,4.88,-13.31,2.01,20.06,16.19,-0.62,3
-0.02,-1.01,-0.08,3.97,-2.69,2.01,20.39,16.17,0.33,3
-0.02,-1.01,-0.09,3.60,-2.75,2.01,20.79,16.16,0.04,3
-0.02,-1.00,-0.10,3.60,-0.31,2.08,19.97,16.66,-0.20,3
-0.02,-1.03,-0.07,4.58,-2.69,0.67,20.28,15.98,-0.18,3
-0.02,-1.01,-0.08,3.72,-3.05,1.46,20.32,15.71,0.01,3
-0.03,-1.02,-0.07,4.58,-3.11,0.85,20.51,15.95,-1.22,3
-0.02,-1.01,-0.08,1.46,-2.08,2.26,20.10,15.83,-0.82,3
-0.02,-1.01,-0.07,4.88,-2.20,1.53,20.36,16.02,-0.28,3
-0.02,-1.00,-0.05,2.38,-3.30,2.08,20.43,16.28,0.06,3
-0.02,-1.00,-0.09,2.69,0.31,1.71,20.47,16.52,0.15,3
-0.02,-1.00,-0.09,1.59,0.06,1.95,20.36,17.21,0.20,3
-0.02,-1.01,-0.07,1.16,-1.40,2.14,20.14,16.44,-1.10,3
-0.02,-1.02,-0.06,1.16,-2.26,1.77,20.75,16.26,-0.83,3
-0.02,-1.02,-0.05,-0.43,-4.76,2.93,20.35,16.39,-1.05,3
