ax,ay,az,gx,gy,gz,mx,my,mz,label
-0.99,-0.08,-0.17,4.64,-3.91,1.53,-7.19,7.20,-10.90,4
-0.99,-0.07,-0.17,4.82,-2.44,-0.06,-7.47,7.12,-11.72,4
-0.98,-0.07,-0.16,5.25,-2.20,0.98,-7.36,7.64,-10.30,4
-0.99,-0.07,-0.17,5.19,-3.54,2.50,-7.52,7.45,-9.55,4
-0.99,-0.07,-0.17,6.59,-2.75,4.33,-7.73,7.51,-10.00,4
-0.99,-0.07,-0.16,5.13,-2.99,4.21,-7.02,7.39,-9.81,4
-0.99,-0.08,-0.17,6.16,-2.69,4.76,-7.46,7.52,-9.45,4
-0.99,-0.09,-0.17,5.86,-2.50,5.62,-7.59,7.43,-10.23,4
-0.99,-0.09,-0.17,4.09,-2.81,1.83,-7.50,7.82,-10.03,4
-0.98,-0.08,-0.17,4.94,-2.32,0.37,-7.40,7.46,-10.39,4
-0.99,-0.08,-0.17,3.48,-2.56,1.16,-7.53,7.93,-10.82,4
-0.99,-0.08,-0.17,4.21,-2.50,0.31,-7.37,7.76,-9.86,4
-0.98,-0.08,-0.17,3.78,-2.44,0.12,-7.10,7.31,-10.66,4
-0.99,-0.07,-0.17,5.19,-2.38,0.85,-7.89,6.91,-10.12,4
-0.99,-0.08,-0.16,3.48,-2.87,1.04,-7.73,7.67,-9.75,4
-0.98,-0.08,-0.17,3.78,-2.87,0.43,-7.51,7.39,-10.45,4
-0.99,-0.08,-0.16,5.25,-2.50,1.83,-7.73,7.18,-10.34,4
-0.99,-0.08,-0.17,4.52,-3.30,2.75,-7.60,7.69,-9.77,4
-0.99,-0.08,-0.17,5.62,-2.75,2.14,-7.91,8.14,-9.85,4
-0.99,-0.08,-0.16,6.47,-2.44,3.05,-7.51,7.63,-10.27,4
-0.99,-0.07,-0.17,5.43,-3.23,4.15,-7.35,7.68,-9.86,4
-0.99,-0.10,-0.17,6.59,-3.36,6.47,-7.47,7.29,-10.45,4
-0.99,-0.09,-0.17,5.13,-2.75,1.34,-7.10,7.51,-9.89,4
-0.99,-0.08,-0.17,4.15,-1.59,0.31,-7.54,7.60,-9.95,4
-0.99,-0.09,-0.16,3.78,-2.69,1.22,-7.40,7.56,-10.52,4
-0.99,-0.09,-0.17,4.09,-2.99,-0.43,-7.46,8.28,-10.08,4
-0.99,-0.08,-0.17,2.69,-3.23,-0.67,-7.62,7.32,-9.96,4
-0.99,-0.08,-0.17,5.31,-2.62,-0.49,-7.42,7.53,-10.18,4
-0.99,-0.08,-0.17,5.19,-2.50,0.73,-7.69,7.82,-10.44,4
-0.99,-0.07,-0.17,5.80,-2.81,2.08,-7.28,7.21,-10.79,4
-0.99,-0.08,-0.17,4.15,-2.14,3.78,-7.21,7.15,-10.17,4
-0.99,-0.08,-0.17,6.10,-2.32,1.95,-7.53,7.85,-10.85,4
-0.99,-0.08,-0.17,5.80,-2.20,3.60,-7.82,8.06,-10.49,4
-0.98,-0.09,-0.17,5.55,-2.87,5.31,-7.30,7.47,-10.95,4
-0.99,-0.09,-0.17,5.07,-3.23,1.46,-7.24,7.24,-10.17,4
-0.99,-0.09,-0.17,5.19,-2.01,0.79,-7.76,7.71,-9.57,4
-0.99,-0.08,-0.16,4.39,-2.38,0.06,-7.13,7.43,-9.84,4
-0.99,-0.08,-0.17,4.39,-3.05,1.04,-7.24,7.41,-9.68,4
-0.99,-0.08,-0.17,4.88,-2.38,0.92,-7.26,7.46,-10.02,4
-0.99,-0.08,-0.16,4.70,-2.50,1.65,-7.56,7.60,-9.55,4
-0.99,-0.08,-0.17,5.49,-3.30,2.32,-7.24,7.52,-9.83,4
-0.99,-0.08,-0.17,5.62,-2.14,0.79,-7.69,7.65,-9.70,4
-0.99,-0.08,-0.17,5.25,-1.77,1.53,-7.56,7.63,-9.99,4
