ax,ay,az,gx,gy,gz,mx,my,mz,label
-0.01,-0.02,1.00,3.78,-3.17,1.34,23.84,0.62,-39.14,1
-0.01,-0.02,1.00,3.72,-3.23,1.46,24.12,-0.65,-39.83,1
-0.02,-0.02,1.00,3.72,-3.36,1.34,23.99,-0.29,-39.49,1
-0.01,-0.02,0.99,4.03,-3.42,1.53,23.41,-0.44,-39.23,1
-0.01,-0.02,1.00,3.78,-3.42,1.53,23.58,-0.50,-40.32,1
-0.01,-0.02,1.00,3.78,-3.30,1.28,23.96,-0.70,-40.23,1
-0.01,-0.02,1.00,3.60,-3.05,1.59,23.95,-0.06,-39.72,1
-0.02,-0.02,1.00,3.72,-3.17,1.46,23.50,-0.42,-39.84,1
-0.02,-0.02,1.00,3.66,-3.36,1.53,23.58,0.02,-39.58,1
-0.01,-0.01,1.00,3.85,-3.17,2.75,23.86,0.11,-39.76,1
-0.02,-0.02,1.00,3.66,-3.11,2.44,23.82,-0.29,-39.01,1
-0.02,-0.02,1.00,3.91,-3.11,2.69,23.73,0.82,-39.70,1
-0.01,-0.02,1.00,3.78,-3.17,1.59,24.06,-0.71,-39.62,1
-0.01,-0.02,1.00,3.72,-3.23,2.38,23.82,-0.55,-40.27,1
-0.01,-0.02,1.00,3.66,-3.11,1.71,23.91,-0.04,-39.93,1
-0.01,-0.02,1.00,3.72,-3.23,1.34,23.84,-0.45,-39.37,1
-0.02,-0.02,1.00,3.85,-3.05,1.53,23.77,-0.40,-39.51,1
-0.01,-0.02,0.99,3.91,-3.17,1.28,24.02,-0.24,-39.67,1
-0.01,-0.02,1.00,3.60,-3.30,1.34,23.86,0.35,-39.15,1
-0.01,-0.02,1.00,3.78,-3.17,1.28,23.94,-0.45,-39.10,1
-0.01,-0.02,1.00,3.91,-3.23,1.46,23.36,-0.09,-39.61,1
-0.01,-0.02,1.00,3.78,-3.05,1.10,23.88,0.21,-39.81,1
-0.01,-0.02,1.00,3.72,-3.23,1.53,23.78,0.31,-39.53,1
-0.01,-0.02,1.00,4.03,-3.17,1.34,23.67,-0.05,-39.51,1
-0.01,-0.02,1.00,3.78,-3.17,1.59,24.02,0.59,-39.82,1
-0.02,-0.02,1.00,3.85,-3.30,1.65,23.90,0.78,-40.41,1
-0.01,-0.02,1.00,3.85,-3.30,2.01,23.61,0.60,-39.70,1
-0.01,-0.02,1.00,3.97,-3.11,3.17,23.95,-0.77,-39.31,1
-0.01,-0.01,1.00,3.85,-2.99,4.03,23.67,-0.83,-39.90,1
-0.02,-0.01,1.00,3.91,-3.05,4.94,24.39,-0.52,-40.48,1
-0.02,-0.01,1.00,4.09,-3.23,2.75,24.50,-0.48,-40.61,1
-0.01,-0.01,1.00,3.97,-3.17,6.96,24.24,-0.62,-39.79,1
-0.02,-0.02,1.00,3.42,-2.81,8.54,24.91,-0.11,-40.47,1
-0.02,-0.02,1.00,3.97,-3.11,9.34,24.77,-0.23,-39.39,1
-0.02,0.02,0.99,4.46,-2.87,7.63,24.63,0.29,-39.43,1
-0.03,-0.15,1.00,3.85,-3.23,-6.23,24.21,0.15,-40.11,1
-0.01,-0.02,0.99,3.85,-2.99,1.04,24.35,0.35,-40.14,1
0.04,0.09,0.99,1.71,-4.82,-10.99,23.72,-0.04,-40.10,1
-0.02,-0.02,1.00,3.36,-4.58,-2.26,23.54,-0.28,-40.33,1
-0.06,-0.02,1.00,2.08,-3.11,0.61,22.77,1.50,-40.41,1
-0.02,-0.01,1.00,3.91,-5.55,1.95,22.63,1.53,-39.94,1
-0.03,-0.02,1.00,3.97,-3.97,0.61,22.44,1.15,-40.59,1
-0.04,-0.03,1.00,3.91,-8.24,0.49,21.55,1.73,-39.66,1
-0.01,0.01,0.99,3.42,-6.71,1.95,21.51,1.78,-40.21,1
-0.05,-0.05,1.00,-1.04,-9.34,4.70,21.40,2.39,-39.97,1
-0.02,0.01,1.00,3.97,-7.93,6.90,20.95,2.14,-40.21,1
-0.02,-0.02,1.00,16.85,-2.69,6.16,20.92,2.71,-40.71,1
-0.06,-0.07,0.99,14.65,0.06,1.10,20.64,2.91,-40.82,1
-0.06,-0.08,0.98,20.39,2.38,3.05,21.02,3.45,-39.11,1
-0.04,-0.07,0.99,7.87,5.98,6.65,21.04,3.87,-40.08,1
0.00,-0.07,1.03,-3.78,13.12,5.74,21.94,3.58,-39.15,1
0.00,-0.10,0.97,1.28,5.74,5.98,21.77,3.92,-39.95,1
0.03,-0.05,1.00,-8.61,-1.77,0.12,21.08,4.04,-40.10,1
0.08,-0.19,0.95,-16.24,2.32,16.36,21.91,2.82,-40.17,1
-0.05,0.04,1.00,-15.44,-9.46,10.56,21.63,2.00,-40.48,1
-0.02,-0.02,1.00,9.34,-15.63,7.81,21.79,2.27,-40.63,1
-0.02,-0.01,0.99,8.36,-8.85,1.10,21.64,3.28,-39.92,1
-0.03,-0.01,0.99,22.34,-3.36,4.64,20.98,2.76,-39.38,1
-0.03,-0.05,1.00,11.47,-7.93,7.02,21.17,3.00,-39.33,1
-0.04,-0.04,0.98,12.51,-21.55,17.09,21.22,3.87,-39.05,1
-0.04,-0.04,1.00,14.34,-2.50,-1.83,20.98,3.25,-39.32,1
-0.04,-0.05,0.99,-2.75,-3.30,0.37,21.12,2.82,-40.67,1
-0.06,-0.04,1.00,-3.42,-4.64,-0.18,21.68,2.89,-40.05,1
-0.04,-0.02,0.99,-4.70,-2.69,-2.99,22.17,2.45,-39.82,1
-0.05,-0.02,1.00,-10.68,-4.15,-0.18,21.85,1.61,-40.21,1
-0.05,-0.01,1.00,-7.81,-3.48,0.85,22.17,1.39,-40.89,1
-0.04,0.01,1.00,-5.80,-2.50,0.98,22.03,0.60,-40.76,1
-0.05,0.02,1.00,-6.59,-2.44,0.18,22.19,1.07,-40.60,1
-0.04,0.03,0.99,-4.70,-2.08,2.62,22.33,0.32,-40.54,1
-0.04,0.04,0.99,-5.25,-0.49,2.93,22.20,0.18,-40.31,1
-0.04,0.05,1.00,-11.17,2.93,6.71,21.69,0.70,-40.82,1
-0.04,0.07,0.98,-15.26,5.43,9.46,22.18,0.17,-40.55,1
-0.02,0.07,0.99,7.39,4.33,4.52,22.39,-0.02,-41.27,1
-0.03,0.07,0.98,9.95,2.01,3.78,22.29,0.26,-40.38,1
-0.02,0.06,1.00,6.71,3.85,4.09,22.00,0.52,-41.56,1
-0.01,0.06,1.01,9.09,2.50,0.12,22.53,0.22,-40.54,1
0.00,0.06,0.99,-2.26,5.80,5.37,23.00,0.54,-41.13,1
-0.00,0.08,1.00,1.65,4.52,4.33,23.46,-0.12,-40.19,1
0.01,0.07,0.99,3.11,0.98,0.61,23.22,-0.18,-40.32,1
0.01,0.07,0.99,-0.31,2.75,3.17,23.32,-0.45,-40.92,1
0.02,0.08,1.00,3.36,1.40,3.60,24.02,-0.59,-41.15,1
0.02,0.08,0.99,7.57,1.34,0.92,23.91,-0.42,-41.28,1
0.03,0.07,1.00,4.27,1.28,1.83,24.12,-0.60,-41.31,1
0.03,0.07,0.99,2.81,2.62,0.55,24.37,-0.01,-41.11,1
0.04,0.08,0.99,5.13,-0.06,0.00,24.49,-0.28,-41.43,1
0.04,0.07,0.99,6.16,0.37,-1.22,24.77,-0.33,-40.39,1
0.05,0.07,0.98,7.39,0.43,-0.73,25.54,-0.18,-40.10,1
0.05,0.06,0.99,7.69,0.37,-1.28,25.60,-0.04,-40.15,1
0.05,0.06,0.99,6.71,-1.16,-0.73,25.77,-0.44,-41.11,1
0.06,0.06,0.99,9.09,-1.77,0.12,25.94,-0.18,-38.85,1
0.06,0.05,0.99,7.26,-2.44,-0.43,25.98,-0.45,-40.39,1
0.06,0.05,0.99,8.18,-2.14,-0.49,25.32,-0.59,-39.70,1
0.06,0.04,0.99,8.85,-4.52,0.49,25.29,0.02,-40.45,1
0.06,0.03,0.99,10.80,-3.30,-0.61,25.67,0.12,-40.98,1
0.06,0.03,0.99,8.12,-4.27,-0.73,25.90,0.93,-39.62,1
0.06,0.03,0.99,9.22,-4.27,-0.49,25.56,-0.34,-39.92,1
0.06,0.02,0.99,10.80,-4.70,-0.49,25.87,0.12,-40.01,1
0.05,0.01,1.00,12.45,-4.82,0.18,26.25,0.46,-40.36,1
0.05,0.01,0.99,18.86,-5.31,-0.73,25.62,0.95,-40.88,1
0.05,-0.02,1.00,32.53,-7.08,-2.38,26.33,1.17,-39.95,1
0.04,-0.05,0.99,27.10,-8.73,-2.93,26.75,1.18,-38.54,1
0.03,-0.08,0.98,27.22,-10.86,-0.85,26.35,1.39,-38.92,1
0.03,-0.09,0.99,19.29,-7.87,0.06,26.48,2.51,-38.79,1
0.03,-0.09,0.99,8.00,-5.55,0.67,25.77,2.10,-38.40,1
0.02,-0.11,0.99,8.85,-5.98,2.20,25.37,2.08,-38.42,1
0.02,-0.11,1.00,14.10,-6.59,2.62,25.20,2.71,-38.32,1
0.02,-0.13,0.99,16.54,-6.41,1.59,24.94,3.39,-38.27,1
0.01,-0.14,0.98,20.69,-7.75,2.08,24.60,3.97,-38.88,1
0.01,-0.15,0.98,6.10,-5.13,1.59,24.16,3.92,-38.21,1
0.01,-0.15,0.99,9.77,-8.06,2.44,24.05,4.75,-37.73,1
0.02,-0.16,0.99,5.49,-8.61,4.64,23.85,4.59,-37.56,1
-0.00,-0.14,1.03,2.69,-9.70,3.36,23.39,5.64,-37.07,1
-0.00,-0.17,0.98,8.00,-10.19,7.63,23.13,5.26,-37.74,1
-0.02,-0.17,0.98,-0.24,-13.49,4.21,22.72,5.22,-38.17,1
-0.04,-0.15,0.98,5.31,-12.15,2.08,22.18,6.04,-37.16,1
-0.04,-0.15,0.98,-1.40,-10.56,0.79,21.66,6.24,-37.77,1
-0.05,-0.15,0.99,0.79,-9.46,1.59,21.39,6.18,-38.51,1
-0.05,-0.16,0.98,1.89,-6.53,1.04,21.51,6.73,-38.05,1
-0.06,-0.14,0.99,0.79,-9.77,2.87,20.97,7.13,-38.53,1
-0.06,-0.15,0.98,0.24,-8.18,0.55,20.52,6.59,-38.53,1
